#node	identifier	domain_summary_url	annotation	other_names_and_aliases
Lcn2	10090.ENSMUSP00000053962	Neutrophil gelatinase-associated lipocalin; Iron-trafficking protein involved in multiple processes such as apoptosis, innate immunity and renal development. Binds iron through association with 2,5-dihydroxybenzoic acid (2,5- DHBA), a siderophore that shares structural similarities with bacterial enterobactin, and delivers or removes iron from the cell, depending on the context. Iron-bound form (holo-24p3) is internalized following binding to the SLC22A17 (24p3R) receptor, leading to release of iron and subsequent increase of intracellular iron concentration. In contrast, association o [...] 	https://smart.embl.de/smart/DDvec.cgi?smart=200:SIGNAL(1|20)+Pfam_Lipocalin(48|195)+	16819,24p3,3S26,3U9P,A0A0A6YW77,AAI32070.1,AAI32072.1,AK149774,AL808027,AW212229,BAE29077.1,BC132069,BC132071,CAA32762.1,CAA57283.1,CCDS15913.1,CH466542,EDL08545.1,ENSMUSG00000026822,ENSMUSP00000053962,ENSMUSP00000088610,ENSMUSP00000088613,ENSMUSP00000141430,ENSMUST00000050785,ENSMUST00000050785.13,ENSMUST00000091083,ENSMUST00000091086,ENSMUST00000136509,ENSMUST00000136509.1,ENSMUST00000144569,ENSMUST00000144569.1,ENSMUST00000147219,ENSMUST00000147219.1,ENSMUST00000155830,ENSMUST00000155830.1,ENSMUST00000192241,ENSMUST00000192241.1,Lcn2,Lcn2-201,Lcn2-202,Lcn2-203,Lcn2-204,Lcn2-205,Lcn2-206,Lipocalin 2,Lipocalin-2,MGI:96757,NGAL,NGAL_MOUSE,NM_008491,NM_008491.1,NP_032517,NP_032517.1,NRL,Neutrophil gelatinase-associated lipocalin,Oncogene 24p3,P11672,Q3UE34,R-MMU-168249,R-MMU-168256,R-MMU-382551,R-MMU-6798695,R-MMU-6799990,R-MMU-6803157,R-MMU-917937,S82469,SV-40-induced 24p3 protein,Siderocalin LCN2,Sip24,UPI0000027AEC,UPI00053BD7AF,X14607,X81627,mmu:16819,neu-related lipocalin,p25,uc008jfl.1
Lipo1	10090.ENSMUSP00000118385	Lipase; Belongs to the AB hydrolase superfamily. Lipase family.	https://smart.embl.de/smart/DDvec.cgi?smart=399:Pfam_Abhydrolase_1(76|376)+	329055,AC098875,AC122846,EG329055,ENSMUSG00000079342,ENSMUSP00000108125,ENSMUSP00000118385,ENSMUSP00000136249,ENSMUST00000112506,ENSMUST00000148137,ENSMUST00000148137.8,ENSMUST00000178735,F6WYC8,F6WYC8_MOUSE,Gm5097,Lipase,Lipase, member O1,Lipo1,Lipo1-201,MGI:3647308,NM_001323065,NM_001323065.1,NP_001309994,NP_001309994.1,UPI0000608098,mmu:329055
Lyz1	10090.ENSMUSP00000089800	Lysozyme C-1; Lysozymes have primarily a bacteriolytic function; those in tissues and body fluids are associated with the monocyte-macrophage system and enhance the activity of immunoagents. Lyz1 is active against a range of Gram-positive and Gram-negative bacteria. Less effective than Lyz2 in killing Gram-negative bacteria. Lyz1 and Lyz2 are equally effective in killing Gram-positive bacteria; Belongs to the glycosyl hydrolase 22 family.	https://smart.embl.de/smart/DDvec.cgi?smart=148:SIGNAL(1|18)+LYZ1(19|147)+	1,4-beta-N-acetylmuramidase C,17110,3.2.1.17,A0A077S9N1,AAH61129.1,BC061129,CAA35922.1,CCDS48695.1,CDM98780.1,CH466539,EC 3.2.1.17,EDL21836.1,ENSMUSG00000069515,ENSMUSP00000089800,ENSMUST00000092162,ENSMUST00000092162.6,HG931779,LYZ1_MOUSE,Lysozyme 1,Lysozyme C,Lysozyme C type P,Lysozyme C-1,Lyz,Lyz1,Lyz1-201,Lyzf3,Lzp-s,MGI:96902,NM_013590,NM_013590.4,NP_038618,NP_038618.1,P17897,UPI0000021858,X51547,mmu:17110,renal amyloidosis,uc007hdc.2
Mbtd1	10090.ENSMUSP00000103485	MBT domain-containing protein 1; Putative Polycomb group (PcG) protein. PcG proteins maintain the transcriptionally repressive state of genes, probably via a modification of chromatin, rendering it heritably changed in its expressibility. Specifically binds to monomethylated and dimethylated 'Lys-20' on histone H4 (By similarity).	https://smart.embl.de/smart/DDvec.cgi?smart=631:MBT(144|248)+MBT(256|357)+MBT(361|459)+MBT(467|563)+	103537,A2ABG6,AA408199,AAH20018.1,AAH62907.1,AAH64014.1,AI194990,AL662838,AL663078,BC020018,BC062907,BC064014,CCDS48883.1,CCDS83868.1,ENSMUSG00000059474,ENSMUSP00000021221,ENSMUSP00000065442,ENSMUSP00000070248,ENSMUSP00000103482,ENSMUSP00000103484,ENSMUSP00000103485,ENSMUSP00000103486,ENSMUST00000021221,ENSMUST00000063645,ENSMUST00000063645.10,ENSMUST00000063718,ENSMUST00000063718.10,ENSMUST00000107850,ENSMUST00000107850.7,ENSMUST00000107852,ENSMUST00000107852.7,ENSMUST00000107853,ENSMUST00000107853.7,ENSMUST00000107854,ENSMUST00000107854.8,ENSMUST00000127539,ENSMUST00000127539.7,ENSMUST00000132739,ENSMUST00000132739.1,ENSMUST00000138281,ENSMUST00000138281.1,ENSMUST00000140880,ENSMUST00000140880.7,ENSMUST00000145354,ENSMUST00000145354.7,ENSMUST00000150237,ENSMUST00000150237.7,ENSMUST00000155518,ENSMUST00000155518.7,ENSMUST00000155841,ENSMUST00000155841.1,MBT domain-containing protein 1,MBTD1_MOUSE,MGI:2143977,Mbt domain containing 1,Mbtd1,Mbtd1-201,Mbtd1-202,Mbtd1-203,Mbtd1-204,Mbtd1-205,Mbtd1-206,Mbtd1-207,Mbtd1-208,Mbtd1-209,Mbtd1-210,Mbtd1-211,Mbtd1-212,Mbtd1-213,Mbtd1-214,NM_001346525.1,NM_001363336,NM_001363336.1,NM_134012,NM_134012.3,NP_001333454.1,NP_598773,NP_598773.2,Q5NC75,Q5NC76,Q6P3F0,Q6P5G3,Q8VE12,UPI000022467A,UPI0000228325,UPI0000470546,UPI0000470547,UPI0000DBECE6,XM_006531884,XM_006531884.3,XM_006531885,XM_006531885.3,XM_006531887,XM_006531887.3,XM_006531889,XM_006531889.2,XM_006531891,XM_006531891.3,XM_006531893,XM_006531893.3,XM_006531894,XM_006531894.3,XM_006531895,XM_006531895.2,XM_006531897,XM_006531897.3,XM_006531898,XM_006531898.2,XM_006531899,XM_006531899.3,XM_006531900,XM_006531900.3,XM_006531901,XM_006531901.3,XM_006531902,XM_006531902.2,XM_006531903,XM_006531903.3,XM_006531904,XM_006531904.3,XM_006531905,XM_006531905.3,XM_006531906,XM_006531906.2,XM_006531907,XM_006531907.3,XM_006531908,XM_006531908.3,XM_006531909,XM_006531909.3,XM_006531910,XM_006531910.3,XM_006531911,XM_006531911.3,XM_006531912,XM_006531912.3,XM_017314200,XM_017314200.1,XM_017314201,XM_017314201.1,XM_017314202,XM_017314202.1,XM_017314203,XM_017314203.1,XM_017314204,XM_017314204.1,XM_017314205,XM_017314205.1,XM_017314206,XM_017314206.1,XM_030245446,XM_030245446.1,XM_030245447,XM_030245447.1,XM_030245448,XM_030245448.1,XP_006531947,XP_006531947.1,XP_006531948,XP_006531948.1,XP_006531950,XP_006531950.1,XP_006531952,XP_006531952.1,XP_006531954,XP_006531954.1,XP_006531956,XP_006531956.1,XP_006531957,XP_006531957.1,XP_006531958,XP_006531958.1,XP_006531960,XP_006531960.1,XP_006531961,XP_006531961.1,XP_006531962,XP_006531962.1,XP_006531963,XP_006531963.1,XP_006531964,XP_006531964.1,XP_006531965,XP_006531965.1,XP_006531966,XP_006531966.1,XP_006531967,XP_006531967.1,XP_006531968,XP_006531968.1,XP_006531969,XP_006531969.1,XP_006531970,XP_006531970.1,XP_006531971,XP_006531971.1,XP_006531972,XP_006531972.1,XP_006531973,XP_006531973.1,XP_006531974,XP_006531974.1,XP_006531975,XP_006531975.1,XP_017169689,XP_017169689.1,XP_017169691,XP_017169691.1,XP_017169692,XP_017169692.1,XP_017169693,XP_017169693.1,XP_017169694,XP_017169694.1,XP_017169695.1,XP_030101306,XP_030101306.1,XP_030101307,XP_030101307.1,XP_030101308,XP_030101308.1,hemp,mmu:103537,uc007kxn.2,uc007kxo.2
Mug2	10090.ENSMUSP00000080469	Murinoglobulin-2; A proteinase activates the inhibitor by specific proteolysis in the bait region, which, by an unknown mechanism leads to reaction at the cysteinyl-glutamyl internal thiol ester site and to a conformational change, whereby the proteinase is trapped and/or covalently bound to the inhibitor. While in the tetrameric proteinase inhibitors steric inhibition is sufficiently strong, monomeric forms need a covalent linkage between the activated glutamyl residue of the original thiol ester and a terminal amino group of a lysine or another nucleophilic group on the proteinase, f [...] 	https://smart.embl.de/smart/DDvec.cgi?smart=1451:SIGNAL(1|24)+Pfam_A2M_N(128|221)+A2M_N_2(449|599)+A2M(740|830)+Thiol-ester_cl(963|992)+Pfam_A2M_comp(1012|1097)+Pfam_A2M_comp(1093|1243)+A2M_recep(1353|1440)+	17837,AAA73041.1,AC153582,AC153838,AC156279,CCDS39619.1,Cpamd8,ENSMUSG00000030131,ENSMUSP00000075531,ENSMUSP00000077530,ENSMUSP00000080469,ENSMUST00000076175,ENSMUST00000078431,ENSMUST00000081777,ENSMUST00000081777.7,I39.005,M65238,MGI:99836,MUG2_MOUSE,MuG2,Mug-2,Mug2,Mug2-201,Murinoglobulin 2,Murinoglobulin-2,NM_008646,NM_008646.3,NP_032672,NP_032672.2,P28666,UPI0000F4F6A4,XM_006505699,XM_006505699.2,XM_006505700,XM_006505700.2,XM_006505701,XM_006505701.2,XM_006505702,XM_006505702.1,XP_006505762,XP_006505762.1,XP_006505763,XP_006505763.1,XP_006505764,XP_006505764.1,XP_006505765,XP_006505765.1,mmu:17837,uc009dos.1
Myo9b	10090.ENSMUSP00000129220	Unconventional myosin-IXb; Myosins are actin-based motor molecules with ATPase activity. Unconventional myosins serve in intracellular movements. Binds actin with high affinity both in the absence and presence of ATP and its mechanochemical activity is inhibited by calcium ions. Also acts as a GTPase activator for RHOA. Plays a role in the regulation of cell migration via its role as RHOA GTPase activator. This is regulated by its interaction with the SLIT2 receptor ROBO1; interaction with ROBO1 impairs interaction with RHOA and subsequent activation of RHOA GTPase activity, and thereb [...] 	https://smart.embl.de/smart/DDvec.cgi?smart=2128:RA(15|114)+MYSc(140|954)+IQ(955|977)+IQ(978|1000)+IQ(1001|1022)+IQ(1023|1045)+C1(1605|1653)+RhoGAP(1682|1857)+	17925,A0A1D5RLD1,A0A1D5RLW4,AC157609,CCDS40379.1,CCDS52580.1,CCDS52581.1,E9PWZ6,E9PZW8,E9QKV6,ENSMUSG00000004677,ENSMUSP00000071827,ENSMUSP00000096244,ENSMUSP00000096245,ENSMUSP00000129220,ENSMUSP00000131635,ENSMUSP00000148316,ENSMUSP00000148528,ENSMUST00000071935,ENSMUST00000071935.6,ENSMUST00000098647,ENSMUST00000098648,ENSMUST00000168839,ENSMUST00000168839.8,ENSMUST00000170242,ENSMUST00000170242.7,ENSMUST00000212173,ENSMUST00000212173.2,ENSMUST00000212412,ENSMUST00000212412.1,ENSMUST00000212935,ENSMUST00000212935.1,MGI:106624,MYO9B_MOUSE,Myo9b,Myo9b-201,Myo9b-202,Myo9b-203,Myo9b-204,Myo9b-205,Myo9b-206,Myosin IX,Myosin IXb,Myr5,NM_001142322,NM_001142322.1,NM_001142323,NM_001142323.1,NM_015742,NM_015742.2,NP_001135794,NP_001135794.1,NP_001135795,NP_001135795.1,NP_056557,NP_056557.2,Q9QY06,Q9QY07,Q9QY08,Q9QY09,R-MMU-1266738,R-MMU-162582,R-MMU-168249,R-MMU-168256,R-MMU-194315,R-MMU-194840,R-MMU-2029480,R-MMU-2029482,R-MMU-376176,R-MMU-422475,R-MMU-8985586,UPI0000EF8851,UPI000186C997,UPI000186C998,UPI000849EC5D,UPI000849EC7A,Unconventional myosin-9b,Unconventional myosin-IXb,XM_006509566,XM_006509566.1,XM_006509567,XM_006509567.1,XM_006509568,XM_006509568.1,XM_006509569,XM_006509569.1,XM_006509571,XM_006509571.1,XM_006509572,XM_006509572.1,XM_006509575,XM_006509575.1,XM_006509576,XM_006509576.1,XM_006509577,XM_006509577.1,XM_006509578,XM_006509578.1,XM_006509579,XM_006509579.2,XM_006509580,XM_006509580.1,XM_006509581,XM_006509581.1,XM_006509582,XM_006509582.1,XM_006509584,XM_006509584.2,XM_006509585,XM_006509585.1,XM_006509586,XM_006509586.2,XM_017312598,XM_017312598.1,XM_017312599,XM_017312599.1,XM_017312600,XM_017312600.1,XM_017312602,XM_017312602.1,XM_017312603,XM_017312603.1,XM_017312604,XM_017312604.1,XM_017312605,XM_017312605.1,XM_017312606,XM_017312606.1,XM_017312607,XM_017312607.1,XM_030243333,XM_030243333.1,XM_030243334,XM_030243334.1,XP_006509629,XP_006509629.1,XP_006509630,XP_006509630.1,XP_006509631,XP_006509631.1,XP_006509632,XP_006509632.1,XP_006509634,XP_006509634.1,XP_006509635,XP_006509635.1,XP_006509638,XP_006509638.1,XP_006509639,XP_006509639.1,XP_006509640,XP_006509640.1,XP_006509641,XP_006509641.1,XP_006509642,XP_006509642.1,XP_006509643,XP_006509643.1,XP_006509644,XP_006509644.1,XP_006509645,XP_006509645.1,XP_006509647,XP_006509647.1,XP_006509648,XP_006509648.1,XP_006509649,XP_006509649.1,XP_017168087,XP_017168087.1,XP_017168088,XP_017168088.1,XP_017168089,XP_017168089.1,XP_017168091,XP_017168091.1,XP_017168092,XP_017168092.1,XP_017168093,XP_017168093.1,XP_017168095,XP_017168095.1,XP_017168096,XP_017168096.1,XP_030099193,XP_030099193.1,XP_030099194,XP_030099194.1,XR_379036,XR_379036.1,mmu:17925
Nccrp1	10090.ENSMUSP00000055562	F-box only protein 50; Promotes cell proliferation.	https://smart.embl.de/smart/DDvec.cgi?smart=291:FBA(108|289)+	1190020J12Rik,233038,A0A0A0MQ97,AC136456,AK028022,BAC25704.1,CCDS39862.1,CH466593,EDL24129.1,ENSMUSG00000047586,ENSMUSP00000055562,ENSMUSP00000159104,ENSMUST00000057974,ENSMUST00000057974.3,ENSMUST00000239002,F-box only protein 50,FBX50_MOUSE,Fbxo50,G3X9C2,Gm163,LOC233038,MGI:2685009,NCC receptor protein 1,NCCRP-1,NM_001081115,NM_001081115.1,NP_001074584,NP_001074584.1,Nccrp1,Nccrp1-201,Nccrp1-202,Q8BT24,UPI00001C3BB7,UPI00001E403A,XP_030098311,XP_030098311.1,mmu:233038
Nucb2	10090.ENSMUSP00000032895	Nucleobindin-2; Calcium-binding protein which may have a role in calcium homeostasis. Acts as a non-receptor guanine nucleotide exchange factor which binds to and activates guanine nucleotide-binding protein (G-protein) alpha subunit GNAI3 (By similarity).	https://smart.embl.de/smart/DDvec.cgi?smart=420:SIGNAL(1|24)+EFh(245|273)+EFh(297|325)+	53322,AAH10459.1,AC163222,AI607786,AJ222586,AK145934,BAE26765.1,BC010459,CAA10858.1,CCDS52372.1,Calnuc,DNA-binding protein NEFA,ENSMUSG00000030659,ENSMUSP00000032895,ENSMUSP00000138741,ENSMUSP00000138757,ENSMUST00000032895,ENSMUST00000032895.14,ENSMUST00000182767,ENSMUST00000182767.1,ENSMUST00000183175,ENSMUST00000183175.7,ENSMUST00000183335,ENSMUST00000183335.1,MGI:1858179,NEFA,NM_001130479,NM_001130479.2,NP_001123951,NP_001123951.1,NP_001347304,NP_001347304.1,NUCB2_MOUSE,Nefa,Nesfatin-1,Nucb2,Nucb2-201,Nucb2-202,Nucb2-203,Nucb2-204,Nucleobindin,Nucleobindin 2,Nucleobindin-2,P81117,Prepronesfatin,Q3UKN6,S4R2R9,UPI0000027EA7,UPI00005AC4A1,UPI0003335284,XM_006508024,XM_006508024.2,XM_006508025,XM_006508025.2,XM_006508026,XM_006508026.2,XM_006508027,XM_006508027.1,XM_006508028,XM_006508028.2,XP_006508087,XP_006508087.1,XP_006508088,XP_006508088.1,XP_006508089,XP_006508089.1,XP_006508090,XP_006508090.1,XP_006508091,XP_006508091.1,XR_001785587,XR_001785587.1,XR_378260,XR_378260.2,mmu:53322,nesfatin-1,uc009jjk.3
Odf2l	10090.ENSMUSP00000096140	Protein BCAP; Acts as a suppressor of ciliogenesis, specifically, the initiation of ciliogenesis.	http://smart.embl.de/smart/DDvec.cgi?smart=642:	4733401D09Rik,52184,9630045K08Rik,A0A0G2JDZ5,A0A0G2JEI0,A0A0G2JEW7,A0A0G2JF51,A0A0G2JFI3,A0A0G2JGC4,AAH20075.1,AC152400,AK014630,AK016726,AK031564,BAB29473.1,BAB30400.1,BAC27451.1,BC020075,Basal body centriole-associated protein,Bcap,CCDS17891.1,CCDS51087.1,CCDS51088.1,D3Ertd250e,ENSMUSG00000028256,ENSMUSP00000029920,ENSMUSP00000064723,ENSMUSP00000073583,ENSMUSP00000096140,ENSMUSP00000096141,ENSMUSP00000101798,ENSMUSP00000142571,ENSMUSP00000142780,ENSMUSP00000142932,ENSMUSP00000143025,ENSMUSP00000143183,ENSMUSP00000143513,ENSMUST00000029920,ENSMUST00000029920.14,ENSMUST00000064156,ENSMUST00000073928,ENSMUST00000098538,ENSMUST00000098538.8,ENSMUST00000098539,ENSMUST00000098539.6,ENSMUST00000106192,ENSMUST00000106192.8,ENSMUST00000195926,ENSMUST00000195926.1,ENSMUST00000196426,ENSMUST00000196426.4,ENSMUST00000196552,ENSMUST00000196552.4,ENSMUST00000196857,ENSMUST00000196857.4,ENSMUST00000196898,ENSMUST00000196898.4,ENSMUST00000197657,ENSMUST00000197657.1,ENSMUST00000198764,ENSMUST00000198764.1,ENSMUST00000198808,ENSMUST00000198808.4,ENSMUST00000199045,ENSMUST00000199045.4,ENSMUST00000199124,ENSMUST00000199124.4,ENSMUST00000199307,ENSMUST00000199307.4,ENSMUST00000199435,ENSMUST00000199435.1,ENSMUST00000200014,ENSMUST00000200014.4,ENSMUST00000200353,ENSMUST00000200353.1,MGI:1098600,NM_001162538,NM_001162538.1,NM_001162539,NM_001162539.1,NM_025714,NM_025714.4,NP_001156010,NP_001156010.1,NP_001156011,NP_001156011.1,NP_079990,NP_079990.2,ODF2L_MOUSE,Odf2l,Odf2l-201,Odf2l-202,Odf2l-203,Odf2l-204,Odf2l-205,Odf2l-206,Odf2l-207,Odf2l-208,Odf2l-209,Odf2l-210,Odf2l-211,Odf2l-212,Odf2l-213,Odf2l-214,Odf2l-215,Odf2l-216,Odf2l-217,Odf2l-218,Outer dense fiber of sperm tails 2-like,Outer dense fiber protein 2-like,Protein BCAP,Q8CD32,Q8VDY5,Q9D478,Q9D647,UPI0000028CFD,UPI0000029EBE,UPI0000D8B3C8,UPI000620A95F,UPI000620A996,UPI000620A9C9,UPI000620A9F2,UPI000620AB2E,UPI000620AB96,XM_006501675,XM_006501675.3,XM_006501676,XM_006501676.3,XM_006501677,XM_006501677.3,XM_006501678,XM_006501678.3,XM_006501679,XM_006501679.3,XM_006501680,XM_006501680.3,XM_006501681,XM_006501681.2,XM_006501682,XM_006501682.3,XM_006501683,XM_006501683.3,XM_011240157,XM_011240157.2,XM_011240158,XM_011240158.2,XM_011240159,XM_011240159.2,XM_011240160,XM_011240160.2,XM_011240161,XM_011240161.2,XM_011240162,XM_011240162.2,XM_017319642,XM_017319642.1,XM_017319643,XM_017319643.1,XM_017319644,XM_017319644.1,XM_030252679,XM_030252679.1,XM_030252680,XM_030252680.1,XP_006501738,XP_006501738.1,XP_006501739,XP_006501739.1,XP_006501740,XP_006501740.1,XP_006501741,XP_006501741.1,XP_006501742,XP_006501742.1,XP_006501743,XP_006501743.1,XP_006501744,XP_006501744.1,XP_006501745,XP_006501745.1,XP_006501746,XP_006501746.1,XP_011238459,XP_011238459.1,XP_011238460,XP_011238460.1,XP_011238462,XP_011238462.1,XP_011238463,XP_011238463.1,XP_017175131,XP_017175131.1,XP_017175132,XP_017175132.1,XP_017175133,XP_017175133.1,XP_030108539,XP_030108539.1,XP_030108540,XP_030108540.1,XP_030108541,XP_030108541.1,XP_030108542,XP_030108542.1,mmu:52184,uc008rqi.2,uc008rqj.2,uc008rql.2
Phgdh	10090.ENSMUSP00000064755	D-3-phosphoglycerate dehydrogenase; Catalyzes the reversible oxidation of 3-phospho-D-glycerate to 3-phosphonooxypyruvate, the first step of the phosphorylated L- serine biosynthesis pathway. Does not catalyze the reversible oxidation of 2-hydroxyglutarate to 2-oxoglutarate and the reversible oxidation of (S)-malate to oxaloacetate.	https://smart.embl.de/smart/DDvec.cgi?smart=533:Pfam_2-Hacid_dh_C(111|285)+	1.1.1.399,1.1.1.95,236539,3-PGDH,3-phosphoglycerate dehydrogenase,3PGDH,4930479N23,A10,AAB67986.1,AAH86668.1,AAI10674.1,AB128936,AK076815,AK169684,BAC36494.1,BAD08449.1,BAE41303.1,BC086668,BC110673,CCDS17663.1,D-3-phosphoglycerate dehydrogenase,EC 1.1.1.399,EC 1.1.1.95,ENSMUSG00000053398,ENSMUSP00000064755,ENSMUSP00000117525,ENSMUST00000065793,ENSMUST00000065793.11,ENSMUST00000148488,ENSMUST00000148488.1,ENSMUST00000152106,ENSMUST00000152106.1,ENSMUST00000153694,ENSMUST00000153694.7,F6ZSB7,L21027,MGI:1355330,NM_016966,NM_016966.3,NP_058662,NP_058662.2,PGAD,PGD,PGDH,Phgdh,Phgdh-201,Phgdh-202,Phgdh-203,Phgdh-204,Q3TEE5,Q61753,Q75SV9,Q8C603,R-MMU-1430728,R-MMU-71291,R-MMU-977347,SERA,SERA_MOUSE,UPI0000237ED2,UPI000164C484,mmu:236539,uc008qps.1
Ppib	10090.ENSMUSP00000034947	Peptidyl-prolyl cis-trans isomerase B; PPIase that catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides and may therefore assist protein folding; Belongs to the cyclophilin-type PPIase family. PPIase B subfamily.	https://smart.embl.de/smart/DDvec.cgi?smart=216:TRANS(11|33)+Pfam_Pro_isomerase(47|204)+	19035,5.2.1.8,AA408962,AA553318,AAA37498.1,AAH13061.1,AI844835,AK002357,AK154073,BAB22036.1,BAE32357.1,BC013061,CAA41736.1,CCDS23301.1,CH466522,CYP-S1,Cphn-2,Cphn2,CyP-20b,Cyclophilin B,EC 5.2.1.8,EDL26112.1,ENSMUSG00000032383,ENSMUSP00000034947,ENSMUST00000034947,ENSMUST00000034947.6,ENSMUST00000213785,ENSMUST00000213785.1,M60456,MGI:97750,NM_011149,NM_011149.2,NP_035279,NP_035279.2,P24369,PPIB_MOUSE,PPIase B,Peptidyl-prolyl cis-trans isomerase B,Peptidylprolyl isomerase B,Ppib,Ppib-201,Ppib-202,Q9DCY1,R-MMU-1474244,R-MMU-1474290,R-MMU-1650814,Rotamase B,S-cyclophilin,SCYLP,UPI00000E742D,X58990,cyclophilin B,mmu:19035,uc009qei.1
Pzp	10090.ENSMUSP00000107760	Alpha-2-macroglobulin 165 kDa subunit; Is able to inhibit all four classes of proteinases by a unique 'trapping' mechanism. This protein has a peptide stretch, called the 'bait region' which contains specific cleavage sites for different proteinases. When a proteinase cleaves the bait region, a conformational change is induced in the protein which traps the proteinase. The entrapped enzyme remains active against low molecular weight substrates (activity against high molecular weight substrates is greatly reduced). Following cleavage in the bait region, a thioester bond is hydrolyzed an [...] 	https://smart.embl.de/smart/DDvec.cgi?smart=1495:SIGNAL(1|24)+Pfam_A2M_N(126|219)+A2M_N_2(458|606)+A2M(750|840)+Thiol-ester_cl(973|1002)+Pfam_A2M_comp(1022|1284)+A2M_recep(1395|1482)+	11287,A1m,A2m,AAA39508.1,AAA87890.1,AAH57983.1,AC123060,AI893533,Alpha-2-M,Alpha-2-macroglobulin,Alpha-2-macroglobulin 165 kDa subunit,Alpha-2-macroglobulin 35 kDa subunit,BC057983,CCDS39650.1,D3YUI3,E9QPW0,ENSMUSG00000030359,ENSMUSP00000032510,ENSMUSP00000085428,ENSMUSP00000107760,ENSMUSP00000120114,ENSMUST00000032510,ENSMUST00000088106,ENSMUST00000112132,ENSMUST00000112132.7,ENSMUST00000143664,ENSMUST00000143664.1,ENSMUST00000203753,ENSMUST00000203753.1,ENSMUST00000204291,ENSMUST00000204291.1,M93264,MAM,MGI:87854,NM_007376,NM_007376.4,NP_031402,NP_031402.3,PZP, alpha-2-macroglobulin like,PZP_MOUSE,Pregnancy zone protein,Pzp,Pzp-201,Pzp-202,Pzp-203,Pzp-204,Q60628,Q61838,Q6PEM2,U06977,UPI0000DACAD6,UPI0000F22363,URS00009ACF67,mmu:11287,uc009eef.1
S100a6	10090.ENSMUSP00000001051	Protein S100-A6; May function as calcium sensor and modulator, contributing to cellular calcium signaling. May function by interacting with other proteins, such as TPR-containing proteins, and indirectly play a role in many physiological processes such as the reorganization of the actin cytoskeleton and in cell motility. Binds 2 calcium ions. Calcium binding is cooperative (By similarity); Belongs to the S-100 family.	https://smart.embl.de/smart/DDvec.cgi?smart=89:S_100(5|47)+	20200,2A9,4P2Y,5B10,AAA37358.1,AAH03832.1,AAH10774.1,AAN59899.1,AF549497,AK008241,AK008941,AK150408,AK151144,AK151587,BAB25552.1,BAB25982.1,BAE29534.1,BAE30151.1,BAE30527.1,BC003832,BC010774,CAA36521.1,CAA47065.1,CALCYCLIN,CCDS38506.1,CH466547,Cacy,Calcyclin,EDL15114.1,ENSMUSG00000001025,ENSMUSP00000001051,ENSMUSP00000143111,ENSMUSP00000143720,ENSMUST00000001051,ENSMUST00000001051.8,ENSMUST00000197189,ENSMUST00000197189.1,ENSMUST00000198128,ENSMUST00000198128.1,ENSMUST00000200289,ENSMUST00000200289.1,M37761,MGI:1339467,NM_011313,NM_011313.2,NP_035443,NP_035443.1,P14069,PRA,Prolactin receptor-associated protein,Protein S100-A6,Q545I9,S100 calcium binding protein A6 (calcyclin),S100 calcium-binding protein A6,S100a6,S100a6-201,S100a6-202,S100a6-203,S100a6-204,S10A6_MOUSE,UPI0000001732,X52278,X66449,mmu:20200,uc008qdb.1
Serpinb6d	10090.ENSMUSP00000063025	Serine (or cysteine) peptidase inhibitor, clade B, member 6d; Belongs to the serpin family.	https://smart.embl.de/smart/DDvec.cgi?smart=375:SERPIN(13|375)+	238568,AAI47560.1,AK136270,AL513022,BAE22906.1,BC147559,CCDS36631.1,CH466546,EDL40868.1,ENSMUSG00000047889,ENSMUSP00000041016,ENSMUSP00000063025,ENSMUSP00000075848,ENSMUSP00000152621,ENSMUST00000043552,ENSMUST00000059637,ENSMUST00000059637.7,ENSMUST00000076532,ENSMUST00000221681,ENSMUST00000221681.1,Gm11390,I04.976,MGI:2667783,NM_001076790,NM_001076790.2,NM_001300892,NM_001300892.1,NP_001070258,NP_001070258.1,NP_001287821,NP_001287821.1,OTTMUSG00000000712,OTTMUSG00000000712 protein,Q3UWK8,Q3UWK8_MOUSE,SPI3D,Serpinb6c,Serpinb6d,Serpinb6d-201,Serpinb6d-202,UPI0000195081,mmu:238568,uc007qak.1
